Official Reg. No. (ORN),Reproduction Status,Cull Reason 1,Cull Reason 2,Cull Decision Reason 1,Cull Decision Reason 2,Cull Date
-1074,Culled,02 Nedsatt fruktsamhet,,,,9/9/2015
-1075,Culled,32 Slakt,,,,5/14/2013
-1076,Culled,35 Högt celltal,04 Mastit/juverfel,,,11/27/2017
-1077,Culled,02 Nedsatt fruktsamhet,,,,2/24/2014
-1078,Culled,32 Slakt,,,,5/14/2013
-1079,Culled,02 Nedsatt fruktsamhet,,,,3/22/2017
-1080,Culled,"19 Svårmjölkad, nedsläpp",,,,10/7/2015
-1081,Culled,32 Slakt,,,,10/21/2013
-1082,Culled,"18 Svårmjölkad, exteriör",,,,11/9/2016
-1083,Culled,32 Slakt,,50 Övrig utgångsorsak,,10/21/2013
-1084,Culled,35 Högt celltal,,,,9/9/2015
-1085,Culled,32 Slakt,,,,10/21/2013
-1087,Culled,32 Slakt,,,,10/21/2013
-1088,Culled,04 Mastit/juverfel,,,,8/16/2017
-1089,Culled,32 Slakt,,,,10/24/2013
-1090,Dry,,,,,
-1091,Culled,32 Slakt,,,,10/24/2013
-1092,Culled,35 Högt celltal,,,,3/15/2016
-1093,Culled,02 Nedsatt fruktsamhet,,,,5/6/2014
-1094,Culled,06 Förlossningssvårigheter,,,,8/26/2016
-1095,Culled,02 Nedsatt fruktsamhet,,,,3/15/2016
-1096,Culled,06 Förlossningssvårigheter,08 Klövsjukdom,,,1/27/2020
-1097,Culled,32 Slakt,,,,10/21/2013
-1098,Culled,04 Mastit/juverfel,,,,8/26/2016
-1099,Culled,,,,,
-1100,Culled,32 Slakt,,32 Slakt,,5/6/2014
-1101,Culled,32 Slakt,,32 Slakt,,5/6/2014
-1102,Culled,04 Mastit/juverfel,,,,7/11/2016
-1103,Culled,11 Kastning,,,,11/24/2017
-1104,Culled,35 Högt celltal,,,,1/27/2020
-1105,Culled,,,,,
-1106,Culled,,,,,
-1107,Culled,02 Nedsatt fruktsamhet,,,,2/5/2015
-1108,Culled,02 Nedsatt fruktsamhet,,,,2/9/2016
-1109,Culled,04 Mastit/juverfel,,,,11/24/2017
-1110,Culled,,,,,
-1111,Culled,35 Högt celltal,,,,8/6/2018
-1112,Culled,11 Kastning,,,,3/16/2015
-1113,Culled,,,,,
-1114,Culled,04 Mastit/juverfel,,,,2/27/2017
-1115,Culled,02 Nedsatt fruktsamhet,,,,2/5/2015
-1116,Culled,13 Låg avkastning,,,,11/9/2016
