Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
75,VMS 1,11/1/2020 10:23:39 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
75,VMS 1,11/1/2020 10:23:27 AM,Grovfoder,00:56,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
93,VMS 1,11/1/2020 10:21:36 AM,Mjolkfalla,00:46,VMS 1,Milking 12.39 kg,,07:45,
12,VMS 1,11/1/2020 10:21:36 AM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
82,VMS 1,11/1/2020 10:20:52 AM,Mjolkfalla,00:47,VMS2,Milking 8.84 kg,,08:54,
24,VMS 1,11/1/2020 10:20:32 AM,VMS2,00:06,VMS2,Pass through to Foderbord,,,
66,VMS 1,11/1/2020 10:19:11 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
55,VMS 1,11/1/2020 10:19:06 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
66,VMS 1,11/1/2020 10:19:02 AM,Grovfoder,00:05,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
55,VMS 1,11/1/2020 10:18:55 AM,Grovfoder,02:44,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
40,VMS 1,11/1/2020 10:18:09 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
40,VMS 1,11/1/2020 10:17:26 AM,Grovfoder,00:36,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
59,VMS 1,11/1/2020 10:16:52 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
59,VMS 1,11/1/2020 10:16:40 AM,Grovfoder,00:21,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
12,VMS 1,11/1/2020 10:15:28 AM,Mjolkfalla,00:18,VMS 1,Milking 9.30 kg,,08:56,
79,VMS 1,11/1/2020 10:15:22 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
123,VMS 1,11/1/2020 10:15:16 AM,VMS 1,00:07,VMS 1,Pass through to Foderbord,,,
79,VMS 1,11/1/2020 10:15:12 AM,Grovfoder,01:00,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
24,VMS 1,11/1/2020 10:13:35 AM,Mjolkfalla,00:12,VMS2,Milking 9.06 kg,,06:07,
66,VMS 1,11/1/2020 10:13:20 AM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
68,VMS 1,11/1/2020 10:12:11 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
68,VMS 1,11/1/2020 10:11:56 AM,Grovfoder,00:12,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
23,VMS 1,11/1/2020 10:08:46 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
23,VMS 1,11/1/2020 10:08:37 AM,Grovfoder,00:01,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
98,VMS 1,11/1/2020 10:08:23 AM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
98,VMS 1,11/1/2020 10:08:01 AM,Koridor till Sorteringsgrind 2,00:01,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
123,VMS 1,11/1/2020 10:07:42 AM,Mjolkfalla,00:26,VMS 1,Milking 15.21 kg,,06:44,
86,VMS 1,11/1/2020 10:07:36 AM,Koridor till Sorteringsgrind 2,00:04,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Röda kor,,
23,VMS 1,11/1/2020 10:07:25 AM,VMS 1,00:07,VMS 1,Pass through to Foderbord,,,
